0:0:0:0:0:0:0:1 - - [04/Jun/2025:17:46:08 -0500] "GET /ControlerCliente?Op=Eliminar&Id=C00001 HTTP/1.1" 200 -
127.0.0.1 - - [04/Jun/2025:18:22:48 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Steven [04/Jun/2025:18:22:48 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [04/Jun/2025:18:22:48 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Steven [04/Jun/2025:18:22:48 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - Steven [04/Jun/2025:18:22:48 -0500] "GET /manager/text/list HTTP/1.1" 200 354
127.0.0.1 - Steven [04/Jun/2025:18:22:49 -0500] "GET /manager/text/undeploy?path=/ HTTP/1.1" 200 70
127.0.0.1 - - [04/Jun/2025:18:23:04 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Steven [04/Jun/2025:18:23:04 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [04/Jun/2025:18:23:04 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Steven [04/Jun/2025:18:23:04 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [04/Jun/2025:18:23:08 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Steven [04/Jun/2025:18:23:08 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [04/Jun/2025:18:23:08 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Steven [04/Jun/2025:18:23:08 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [04/Jun/2025:18:23:08 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Steven [04/Jun/2025:18:23:08 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [04/Jun/2025:18:23:09 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Steven [04/Jun/2025:18:23:09 -0500] "GET /manager/text/ HTTP/1.1" 200 44
